Status,Kurs,Start,Ende,Bemerkung,Kurswebseite
abgeschlossen,rstatsZH-K009,2024-09-24T00:00:00Z,2024-11-26T00:00:00Z,von 13:00 bis 15:30 Uhr,<https://rstatszh-k009.github.io/website/>
abgeschlossen,rstatsZH-K010,2025-02-25T00:00:00Z,2024-04-29T00:00:00Z,von 13:00 bis 15:30 Uhr,<https://rstatszh-k010.github.io/website/>
angekündigt,rstatsZH-K011,2025-09-23T00:00:00Z,2025-11-25T00:00:00Z,von 12:30 bis 15:00 Uhr (provisorisch),<https://rstatszh-k011.github.io/website/>
